D30	lasso current data	λ = 0.25	flyvis_current_noise_005_conductance_lasso_0p25_cv00	FINAL
D30	lasso current data	λ = 0.5	flyvis_current_noise_005_conductance_lasso_0p5_cv00	FINAL
D30	lasso current data	λ = 1	flyvis_current_noise_005_conductance_lasso_1_cv00	FINAL
D30	lasso current data	λ = 2.5	flyvis_current_noise_005_conductance_lasso_2p5_cv00	FINAL
D30	lasso current data	λ = 5	flyvis_current_noise_005_conductance_lasso_5_cv00	FINAL
D30	lasso current data	λ = 10	flyvis_current_noise_005_conductance_lasso_10_cv00	FINAL
D30	lasso current data	λ = 25	flyvis_current_noise_005_conductance_lasso_25_cv00	FINAL
D14	CV current sigma 0.05	fold 00_ref	flyvis_current_noise_005_current_cv00_ref	FINAL
D14	CV current sigma 0.05	fold 02	flyvis_current_noise_005_current_cv02	FINAL
D14	CV current sigma 0.05	fold 03	flyvis_current_noise_005_current_cv03	FINAL
D14	CV current sigma 0.05	fold 04	flyvis_current_noise_005_current_cv04	FINAL
D14	CV current sigma 0	fold 0	flyvis_current_noise_free_current_cv00	FINAL
D14	CV current sigma 0	fold 1	flyvis_current_noise_free_current_cv01	FINAL
D14	CV current sigma 0	fold 2	flyvis_current_noise_free_current_cv02	FINAL
D14	CV current sigma 0	fold 3	flyvis_current_noise_free_current_cv03	FINAL
D14	CV current sigma 0	fold 4	flyvis_current_noise_free_current_cv04	FINAL
D14	conductance sigma 0.05	gnn	flyvis_conductance_noise_005_conductance_gnn_cv00	FINAL
D14	conductance sigma 0.05	gnn_nol1	flyvis_conductance_noise_005_conductance_gnn_nol1_cv00	FINAL
D14	conductance sigma 0.05	gnn_nol1sil	flyvis_conductance_noise_005_conductance_gnn_nol1sil_cv00	FINAL
D14	conductance sigma 0.05	gnnsil	flyvis_conductance_noise_005_conductance_gnnsil_cv00	FINAL
D14	known-ODE sigma 0.05	known-ODE	flyvis_conductance_noise_005_conductance_knownode_llmwinner_cv00	FINAL
D14	conductance sigma 0	gnn	flyvis_conductance_noise_free_conductance_gnn_cv00	FINAL
D14	conductance sigma 0	gnn_nol1	flyvis_conductance_noise_free_conductance_gnn_nol1_cv00	FINAL
D14	conductance sigma 0	gnn_nol1sil	flyvis_conductance_noise_free_conductance_gnn_nol1sil_cv00	FINAL
D14	conductance sigma 0	gnnsil	flyvis_conductance_noise_free_conductance_gnnsil_cv00	FINAL
D14	known-ODE sigma 0	known-ODE	flyvis_conductance_noise_free_conductance_knownode_llmwinner_cv00	FINAL
D15	A current/current	cv00	flyvis_current_noise_005_current_cv00	FINAL
D15	A current/current	nol	flyvis_current_noise_005_current_nol	RUN
D15	A current/current	sil	flyvis_current_noise_005_current_sil	RUN
D15	A current/current	nol1sil	flyvis_current_noise_005_current_nol1sil	RUN
D15	A current/current	nol1silgain	flyvis_current_noise_005_current_nol1silgain	RUN
D15	B cond/cond sigma 005	ctrl	flyvis_conductance_noise_005_conductance_nol12sil_ctrl_cv00	FINAL
D15	B cond/cond sigma 005	g1e5	flyvis_conductance_noise_005_conductance_nol12sil_g1e5_cv00	FINAL
D15	B cond/cond sigma 005	g1e4	flyvis_conductance_noise_005_conductance_nol12sil_g1e4_cv00	FINAL
D15	B cond/cond sigma 005	g1e3	flyvis_conductance_noise_005_conductance_nol12sil_g1e3_cv00	FINAL
D15	B cond/cond sigma 005	rc5	flyvis_conductance_noise_005_conductance_nol12sil_rc5_cv00	FINAL
D15	B cond/cond sigma 005	rc5g1e4	flyvis_conductance_noise_005_conductance_nol12sil_rc5g1e4_cv00	FINAL
D15	B cond/cond sigma free	ctrl	flyvis_conductance_noise_free_conductance_nol12sil_ctrl_cv00	FINAL
D15	B cond/cond sigma free	g1e5	flyvis_conductance_noise_free_conductance_nol12sil_g1e5_cv00	FINAL
D15	B cond/cond sigma free	g1e4	flyvis_conductance_noise_free_conductance_nol12sil_g1e4_cv00	FINAL
D15	B cond/cond sigma free	g1e3	flyvis_conductance_noise_free_conductance_nol12sil_g1e3_cv00	FINAL
D15	B cond/cond sigma free	rc5	flyvis_conductance_noise_free_conductance_nol12sil_rc5_cv00	FINAL
D15	B cond/cond sigma free	rc5g1e4	flyvis_conductance_noise_free_conductance_nol12sil_rc5g1e4_cv00	FINAL
D15	C cond model / current data	fold 0	flyvis_current_noise_005_conductance_nol12sil_g1e3_cv00	FINAL
D15	C cond model / current data	fold 1	flyvis_current_noise_005_conductance_nol12sil_g1e3_cv01	FINAL
D15	C cond model / current data	fold 2	flyvis_current_noise_005_conductance_nol12sil_g1e3_cv02	FINAL
D15	C cond model / current data	fold 3	flyvis_current_noise_005_conductance_nol12sil_g1e3_cv03	FINAL
D15	C cond model / current data	fold 4	flyvis_current_noise_005_conductance_nol12sil_g1e3_cv04	FINAL
D15	D meas noise 010	k1	flyvis_noise_005_meas_010_gnn_k1_cv00	FINAL
D15	D meas noise 010	rc5	flyvis_noise_005_meas_010_gnn_rc5_cv00	FINAL
D15	D meas noise 010	rc8	flyvis_noise_005_meas_010_gnn_rc8_cv00	FINAL
D15	D meas noise 010	rc10	flyvis_noise_005_meas_010_gnn_rc10_cv00	FINAL
D15	D meas noise 010	k5fix	flyvis_noise_005_meas_010_gnn_k5fix_cv00	FINAL
D15	D meas noise 020	k1	flyvis_noise_005_meas_020_gnn_k1_cv00	FINAL
D15	D meas noise 020	rc5	flyvis_noise_005_meas_020_gnn_rc5_cv00	FINAL
D15	D meas noise 020	rc8	flyvis_noise_005_meas_020_gnn_rc8_cv00	FINAL
D15	D meas noise 020	rc10	flyvis_noise_005_meas_020_gnn_rc10_cv00	FINAL
D15	D meas noise 020	k5fix	flyvis_noise_005_meas_020_gnn_k5fix_cv00	FINAL
D15	TWIN cond sigma 0	repro	flyvis_conductance_noise_free_conductance_gnn_cv00_repro	FINAL
